,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
0,510404,2020-03-09,t,25.0,25.0,4.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15605,-8.60928,2,1.0,1.0,1.0,0.0,0.0,10.0,1.0,3.218875824868201
165,41339,2020-03-09,f,75.0,75.0,2.0,90.0,Lordelo do Ouro e Massarelos,PORTO,41.1501,-8.66035,5,1.0,1.0,4.0,250.0,0.0,8.0,2.0,4.31748811353631
520,100521,2020-03-09,t,80.0,80.0,1.0,730.0,Gulpilhares e Valadares,VILA NOVA DE GAIA,41.07378,-8.65368,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.382026634673881
870,518534,2020-03-09,f,91.0,91.0,2.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14002,-8.61519,4,1.0,1.0,2.0,0.0,25.0,15.0,2.0,4.51085950651685
1223,100661,2020-03-09,f,25.0,25.0,3.0,365.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14908,-8.60905,2,2.0,1.0,2.0,0.0,15.0,10.0,1.0,3.218875824868201
1576,55111,2020-03-09,f,66.0,66.0,3.0,60.0,Cete,PAREDES,41.17481,-8.35362,5,1.0,2.0,5.0,150.0,0.0,0.0,4.0,4.189654742026425
1939,530311,2020-03-09,f,85.0,85.0,3.0,1125.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.13501,-8.61047,5,1.0,3.0,4.0,0.0,25.0,0.0,1.0,4.442651256490317
2293,104045,2020-03-09,t,160.0,160.0,4.0,1125.0,Bonfim,PORTO,41.15877,-8.59893,10,3.0,5.0,6.0,0.0,75.0,0.0,1.0,5.075173815233827
2649,538055,2020-03-09,t,96.0,96.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15061,-8.62086,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.564348191467836
3004,70925,2020-03-09,t,70.0,70.0,4.0,1125.0,Santa Marinha e São Pedro da Afurada,VILA NOVA DE GAIA,41.1381,-8.61108,6,1.0,2.0,2.0,94.0,0.0,5.0,4.0,4.248495242049359
3116,73828,2020-03-09,f,66.0,66.0,3.0,60.0,Cete,PAREDES,41.17449,-8.35426,5,1.0,2.0,5.0,150.0,0.0,0.0,4.0,4.189654742026425
3480,105347,2020-03-09,f,50.0,50.0,3.0,1125.0,Oliveira do Douro,VILA NOVA DE GAIA,41.12961,-8.58427,4,1.0,2.0,3.0,0.0,0.0,15.0,2.0,3.912023005428146
3831,76436,2020-03-09,f,114.0,114.0,2.0,999.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.13925,-8.61477,3,1.0,1.0,2.0,0.0,0.0,30.0,2.0,4.736198448394496
4168,538059,2020-03-09,f,64.0,64.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15065,-8.62109,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.158883083359672
4522,108153,2020-03-09,t,60.0,60.0,2.0,1125.0,Anta e Guetim,ESPINHO,40.99902,-8.6163,2,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0943445622221
4873,86388,2020-03-09,f,21.0,21.0,3.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14918,-8.60922,2,2.0,1.0,1.0,0.0,15.0,10.0,1.0,3.044522437723423
5227,538061,2020-03-09,t,80.0,80.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14921,-8.61951,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.382026634673881
5581,87873,2020-03-09,t,55.0,55.0,2.0,14.0,Bonfim,PORTO,41.15786,-8.60427,4,1.0,2.0,2.0,0.0,0.0,12.0,2.0,4.007333185232471
5941,113586,2020-03-09,t,50.0,50.0,4.0,60.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14602,-8.61447,3,1.0,1.0,2.0,0.0,0.0,15.0,2.0,3.912023005428146
6299,91439,2020-03-09,f,25.0,25.0,3.0,31.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14908,-8.60905,2,2.0,1.0,1.0,0.0,15.0,10.0,1.0,3.218875824868201
6654,538062,2020-03-09,t,96.0,96.0,1.0,1125.0,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15004,-8.61974,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.564348191467836
