neighbourhood,minx,miny,maxx,maxy,center_lon,center_lat
Lordelo do Ouro e Massarelos,-8.666081,41.139795,-8.61871,41.163572,-8.6423955,41.151683500000004
Sobreira,-8.421343,41.068293,-8.368387,41.167331,-8.394865,41.117812
Fornos,-8.541971,40.904045,-8.517483,40.923419,-8.529727000000001,40.913732
Bonfim,-8.604694,41.138351,-8.586408,41.167183,-8.595551,41.152767
Ramalde,-8.662999,41.159759,-8.622682,41.184325,-8.642840499999998,41.172042000000005
"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",-8.635938,41.138902,-8.601227,41.16752,-8.618582499999999,41.153211
Anta e Guetim,-8.637272,40.986007,-8.593623,41.025766,-8.615447499999998,41.0058865
"Pinheiro da Bemposta, Travanca e Palmaz",-8.526383,40.758765,-8.406153,40.822129,-8.466268,40.790447
Chave,-8.381038,40.883748,-8.322284,40.925728,-8.351661,40.904737999999995
Recarei,-8.4677,41.141052,-8.396513,41.172553,-8.4321065,41.1568025
Vila de Cucujães,-8.529101,40.856741,-8.479616,40.892896,-8.5043585,40.8748185
São Roque,-8.484215,40.848875,-8.450431,40.893279,-8.467323,40.871077
Milheirós de Poiares,-8.492814,40.90245,-8.452629,40.938608,-8.472721499999999,40.920529
Escapães,-8.522769,40.91244,-8.489565,40.943536,-8.506167000000001,40.927988
Arouca e Burgo,-8.271075,40.895013,-8.214389,40.95054,-8.242732,40.9227765
Parada de Todeia,-8.402264,41.156021,-8.360292,41.175239,-8.381278,41.16563
Campanhã,-8.5938,41.139958,-8.552613,41.179153,-8.5732065,41.159555499999996
"Aldoar, Foz do Douro e Nevogilde",-8.691294,41.142806,-8.656875,41.179307,-8.6740845,41.1610565
"Santa Maria da Feira, Travanca, Sanfins e Espargo",-8.598866,40.88966,-8.507812,40.951358,-8.553339,40.920508999999996
Paranhos,-8.627841,41.161822,-8.571811,41.185935,-8.599826,41.1738785
Fânzeres e São Pedro da Cova,-8.554852,41.125402,-8.470697,41.190507,-8.512774499999999,41.1579545
Cete,-8.378444,41.169129,-8.344547,41.191363,-8.3614955,41.180246
Silvalde,-8.651233,40.979112,-8.606241,41.003969,-8.628737000000001,40.9915405
"Lobão, Gião, Louredo e Guisande",-8.512178,40.956537,-8.439949,41.004836,-8.4760635,40.9806865
Alvarenga,-8.213406,40.924629,-8.089172,41.013687,-8.151289,40.969158
Mozelos,-8.585704,40.981449,-8.538296,41.014084,-8.562000000000001,40.9977665
Canelas e Espiunca,-8.244834,40.930029,-8.1723,41.016061,-8.208567,40.973045
Nogueira da Regedoura,-8.602943,40.996275,-8.55682,41.015564,-8.579881499999999,41.0059195
Espinho,-8.649776,40.999139,-8.63342,41.016005,-8.641597999999998,41.007571999999996
Sanguedo,-8.534475,40.997382,-8.505461,41.025389,-8.519968,41.0113855
Junqueira,-8.371535,40.77639,-8.30725,40.830173,-8.339392499999999,40.8032815
Loureiro,-8.549126,40.776025,-8.496522,40.834869,-8.522824,40.805447
São Pedro de Castelões,-8.434746,40.788011,-8.355991,40.847512,-8.3953685,40.8177615
